Industry,File Location
SERVICES,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/ADANIPORTS.csv
FMCG,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/NIFTY%20FMCG.csv
BANK,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/NIFTY%20BANK.csv
AUTOMOBILE,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/NIFTY%20AUTO.csv
IT,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/NIFTY%20IT.csv
METALS & ENERGY,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/NIFTY%20METAL.csv
PHARMA,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/NIFTY%20PHARMA.csv
CONSTRUCTION,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/LT.csv
FERTILISERS & PESTICIDES,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/UPL.csv
MEDIA & ENTERTAINMENT,https://raw.githubusercontent.com/C0uldY0uN0t/Nifty-50_Stock/main/ZEEL.csv
